Datetime,Price_USD,Log_Return,Volatility,Value_HODL,Value_LP,Impermanent_Loss
2024-06-02 00:00:00+00:00,3830.826416015625,0.0046838663670773,0.0023938071177736,10000.0,10000.0,0.0
2024-06-02 01:00:00+00:00,3821.25048828125,-0.0025028323298128,0.0024863895189148,9987.501485718145,9987.493665297761,-7.830206979098919e-07
2024-06-02 02:00:00+00:00,3802.046875,-0.0050381489758185,0.0026857132474682,9962.43690278512,9962.366087215545,-7.1082577753487015e-06
2024-06-02 03:00:00+00:00,3804.8134765625,0.0007273964701921,0.0026862053017567,9966.047875016768,9965.990041151725,-5.8030892253662636e-06
2024-06-02 04:00:00+00:00,3815.827392578125,0.0028905505123388,0.00273186641068,9980.42325361599,9980.404053560147,-1.9237717034350946e-06
2024-06-02 05:00:00+00:00,3804.310546875,-0.0030227417308504,0.0028085739781356,9965.391450484718,9965.331354736498,-6.030445318559862e-06
2024-06-02 06:00:00+00:00,3811.579833984375,0.0019089795029632,0.0028300679012986,9974.879334194333,9974.847702290328,-3.1711565568908734e-06
2024-06-02 07:00:00+00:00,3794.0048828125,-0.0046215992874976,0.0028341786093238,9951.94048332602,9951.824439092583,-1.1660462965099376e-05
2024-06-02 08:00:00+00:00,3791.67138671875,-0.0006152374776995,0.0024362603218465,9948.89480095838,9948.76354222813,-1.3193297635258527e-05
2024-06-02 09:00:00+00:00,3778.95751953125,-0.0033587379059681,0.0025123421001454,9932.300643710289,9932.069918914474,-2.3229743449252933e-05
2024-06-02 10:00:00+00:00,3777.695068359375,-0.0003341297403676,0.0024832980181916,9930.65289067377,9930.410757540463,-2.438239821407845e-05
2024-06-02 11:00:00+00:00,3801.701171875,0.0063345899934898,0.0028027825289257,9961.985690582507,9961.913160214262,-7.280713955786575e-06
2024-06-02 12:00:00+00:00,3787.646728515625,-0.0037037330769343,0.0028615082785874,9943.641811438549,9943.482097774951,-1.606188825241409e-05
2024-06-02 13:00:00+00:00,3794.00634765625,0.0016776343017291,0.0028658835300156,9951.942395242133,9951.826360263862,-1.1659530739119565e-05
2024-06-02 14:00:00+00:00,3801.608154296875,0.0020016311193098,0.0028876779741645,9961.864283909345,9961.79128862811,-7.327471962482159e-06
2024-06-02 15:00:00+00:00,3795.9560546875,-0.0014878717695841,0.0028699474505883,9954.487155588227,9954.38311055811,-1.0452073370614669e-05
2024-06-02 16:00:00+00:00,3789.625732421875,-0.0016690410604794,0.0028892380456939,9946.224810106898,9946.07943876068,-1.4615730992743245e-05
2024-06-02 17:00:00+00:00,3772.48681640625,-0.0045328458815227,0.0030072698541619,9923.85507293482,9923.562941741055,-2.943726924861148e-05
2024-06-02 18:00:00+00:00,3767.496826171875,-0.0013236079014042,0.0030113507610129,9917.342130696674,9916.997661285066,-3.473404537911838e-05
2024-06-02 19:00:00+00:00,3780.03173828125,0.0033215968716493,0.0030908822831369,9933.70271552632,9933.481479850174,-2.2271219753812875e-05
2024-06-02 20:00:00+00:00,3784.364990234375,0.0011456967641008,0.0031022651501352,9939.358482040574,9939.173488817441,-1.8612189455367295e-05
2024-06-02 21:00:00+00:00,3782.186279296875,-0.0005758795308729,0.0030375482632831,9936.514825475517,9936.312017519898,-2.041037115936438e-05
2024-06-02 22:00:00+00:00,3778.963134765625,-0.0008525541686779,0.0030101992623405,9932.307972722056,9932.077298050046,-2.322467976659087e-05
2024-06-02 23:00:00+00:00,3782.99560546875,0.0010665149662609,0.0030094015706882,9937.571159127823,9937.375065003656,-1.973260075594349e-05
2024-06-03 00:00:00+00:00,3770.863525390625,-0.0032121569384526,0.0028658075082935,9921.736351229187,9921.427670682468,-3.1111544974781164e-05
2024-06-03 01:00:00+00:00,3798.640380859375,0.0073391811386149,0.0032664191929238,9957.990741864876,9957.902130333352,-8.898535238816518e-06
2024-06-03 02:00:00+00:00,3806.50634765625,0.0020685911482283,0.003132610211538,9968.25741273776,9968.206872590234,-5.070108588999572e-06
2024-06-03 03:00:00+00:00,3798.659423828125,-0.002063578059568,0.0031580263335824,9958.015596774341,9957.92709028776,-8.887964245628028e-06
2024-06-03 04:00:00+00:00,3816.2509765625,0.0046202996761763,0.0032469554432882,9980.976116025267,9980.957986110618,-1.8164470527740432e-06
2024-06-03 05:00:00+00:00,3811.31982421875,-0.0012929812543298,0.0031956268682116,9974.539969084315,9974.507475644416,-3.25763794623771e-06
2024-06-03 06:00:00+00:00,3824.12841796875,0.0033550370216591,0.0032449280592726,9991.257763574366,9991.253938895123,-3.82802579347837e-07
2024-06-03 07:00:00+00:00,3814.948974609375,-0.002403287021677,0.0031331593163732,9979.2767412537,9979.255223967068,-2.156197006039769e-06
2024-06-03 08:00:00+00:00,3824.117919921875,0.0024005418049537,0.0031581875293831,9991.244061508889,9991.240224825835,-3.8400453741425257e-07
2024-06-03 09:00:00+00:00,3815.912841796875,-0.0021479183881456,0.0031055139415789,9980.534782055902,9980.51580035411,-1.90187221498208e-06
2024-06-03 10:00:00+00:00,3808.74169921875,-0.0018810412075798,0.0031374211610371,9971.174996725844,9971.133332501218,-4.178466894741423e-06
2024-06-03 11:00:00+00:00,3807.99072265625,-0.0001971912687326,0.0028665064802966,9970.194821065365,9970.150270748545,-4.468349678106665e-06
2024-06-03 12:00:00+00:00,3835.759033203125,0.007265657194595,0.0031035406681893,10006.438058857064,10006.43598776014,-2.069764397326984e-07
2024-06-03 13:00:00+00:00,3825.091064453125,-0.0027850631482371,0.0031646255422804,9992.514211113139,9992.511407162005,-2.8060516854627534e-07
2024-06-03 14:00:00+00:00,3765.834228515625,-0.0156128633484975,0.0045163767789713,9915.172105908681,9914.80923256588,-3.659778558811676e-05
2024-06-03 15:00:00+00:00,3793.795654296875,0.0073975984880447,0.004779339817967,9951.66739797458,9951.550027985168,-1.1794002423703151e-05
2024-06-03 16:00:00+00:00,3766.981689453125,-0.0070929419136982,0.0049843628554103,9916.66977353035,9916.319653510922,-3.530620938516276e-05
2024-06-03 17:00:00+00:00,3778.933837890625,0.0031678484577345,0.0049443545794219,9932.2697343998,9932.038798151967,-2.3251105135995614e-05
2024-06-03 18:00:00+00:00,3779.24267578125,8.172285742165749e-05,0.0049354320323414,9932.672830046908,9932.44464373893,-2.2973303548943558e-05
2024-06-03 19:00:00+00:00,3770.529296875,-0.002308250582021,0.0049108576860858,9921.30011570279,9920.987970663798,-3.146211034355135e-05
2024-06-03 20:00:00+00:00,3772.4306640625,0.0005041435292293,0.0049054976133639,9923.781782817165,9923.489086825422,-2.949440023449713e-05
2024-06-03 21:00:00+00:00,3772.697265625,7.066853341533319e-05,0.0049047269877583,9924.129751549688,9923.83973223035,-2.9223652511484292e-05
2024-06-03 22:00:00+00:00,3776.111083984375,0.0009044655617138,0.0049061911307455,9928.585472050494,9928.328632806728,-2.5868664221010825e-05
2024-06-03 23:00:00+00:00,3766.455078125,-0.0025604047553514,0.0049267163425463,9915.98243968781,9915.626495272812,-3.589603119638036e-05
2024-06-04 00:00:00+00:00,3758.8642578125,-0.0020174088429082,0.004900741136951,9906.074890391443,9905.629601788512,-4.495106365107529e-05
2024-06-04 01:00:00+00:00,3771.9365234375,0.0034716835922935,0.0047040021918039,9923.13682978179,9922.839139864951,-2.9999577950534912e-05
2024-06-04 02:00:00+00:00,3768.801025390625,-0.0008316157954781,0.004677851097021,9919.044373342407,9918.714002674347,-3.3306703309825894e-05
2024-06-04 03:00:00+00:00,3773.67041015625,0.0012911909534547,0.0046765632130909,9925.399901153936,9925.119547042177,-2.8246127566765135e-05
2024-06-04 04:00:00+00:00,3764.61572265625,-0.0024023210833686,0.004575559782958,9913.581710355542,9913.205042119873,-3.799517133909306e-05
2024-06-04 05:00:00+00:00,3759.8046875,-0.0012787791084534,0.0045754628099384,9907.30234053584,9906.868668288522,-4.377299010485679e-05
2024-06-04 06:00:00+00:00,3763.956787109375,0.0011037298417556,0.0045142261134146,9912.721666757483,9912.337430452499,-3.8761938234674154e-05
2024-06-04 07:00:00+00:00,3773.505126953125,0.0025335703344607,0.004543757969842,9925.18417328588,9924.902189226732,-2.841096489739063e-05
2024-06-04 08:00:00+00:00,3759.66357421875,-0.0036748329581513,0.0045469804244872,9907.118159283644,9906.682753862306,-4.394874617803377e-05
2024-06-04 09:00:00+00:00,3747.90966796875,-0.0031312157668719,0.0045649111389962,9891.776944394787,9891.184908184447,-5.9851350638890576e-05
2024-06-04 10:00:00+00:00,3765.869140625,0.0047804193642568,0.004693800964837,9915.217673242701,9914.855191320448,-3.655814064792614e-05
2024-06-04 11:00:00+00:00,3763.945556640625,-0.0005109246650966,0.004693440152659,9912.707008733953,9912.322642785544,-3.877507406095744e-05
