Datetime,BTC-USD,ETH-USD,Spread,Z_Score,Position,Spread_Change,Strategy_PnL_Gross,Trades,Cost,Strategy_PnL_Net,Cumulative_PnL
2026-01-14 04:11:00+00:00,95382.4296875,3343.3232421875,-690.4482496959868,,0,,,,,,
2026-01-14 04:12:00+00:00,95375.34375,3342.4013671875,-691.0704567930575,,0,-0.6222070970707136,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:13:00+00:00,95358.7265625,3340.817138671875,-691.9519359927717,,0,-0.8814791997142493,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:14:00+00:00,95389.5703125,3342.40869140625,-691.6647811423718,,0,0.2871548503999293,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:15:00+00:00,95375.984375,3340.85400390625,-692.6449124315732,,0,-0.9801312892013812,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:16:00+00:00,95393.0703125,3341.22607421875,-692.9954151110323,,0,-0.3505026794591686,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:17:00+00:00,95441.453125,3343.317138671875,-692.9504844206876,,0,0.04493069034469954,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:18:00+00:00,95427.0234375,3341.68701171875,-693.9703725461272,,0,-1.0198881254395928,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:19:00+00:00,95441.609375,3341.999267578125,-694.2749634064539,,0,-0.304590860326698,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:20:00+00:00,95439.328125,3341.87255859375,-694.305197167394,,0,-0.030233760940063803,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:21:00+00:00,95384.5859375,3340.056884765625,-693.8057960276838,,0,0.499401139710244,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:22:00+00:00,95382.9375,3339.682861328125,-694.110106204414,,0,-0.3043101767302687,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:23:00+00:00,95441.171875,3343.10498046875,-693.1507484181839,,0,0.9593577862301572,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:24:00+00:00,95422.7890625,3341.825927734375,-693.6523826568664,,0,-0.5016342386825272,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:25:00+00:00,95435.3359375,3342.9951171875,-693.0138069326331,,0,0.6385757242333057,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:26:00+00:00,95452.03125,3343.35400390625,-693.360973475802,,0,-0.34716654316889617,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:27:00+00:00,95439.375,3342.370361328125,-693.8093768006238,,0,-0.4484033248218111,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:28:00+00:00,95468.515625,3343.947021484375,-693.4650885053738,,0,0.3442882952499531,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:29:00+00:00,95468.90625,3343.904296875,-693.5243328447891,,0,-0.05924433941527241,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:30:00+00:00,95432.2421875,3343.992431640625,-691.8856562175897,,0,1.638676627199402,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:31:00+00:00,95384.5859375,3340.899658203125,-692.9630225901838,,0,-1.0773663725940423,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:32:00+00:00,95387.8984375,3340.827392578125,-693.1753755259247,,0,-0.21235293574090974,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:33:00+00:00,95357.640625,3339.70458984375,-693.018559971385,,0,0.15681555453966212,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:34:00+00:00,95392.328125,3340.8984375,-693.2916643427056,,0,-0.2731043713206418,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:35:00+00:00,95376.25,3341.81982421875,-691.6903255355005,,0,1.6013388072051384,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:36:00+00:00,95391.765625,3342.76513671875,-691.4011767126981,,0,0.28914882280241727,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:37:00+00:00,95338.21875,3341.50244140625,-690.3993474312856,,0,1.0018292814124834,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:38:00+00:00,95324.328125,3342.976318359375,-688.3380288779308,,0,2.061318553354795,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:39:00+00:00,95319.40625,3342.886474609375,-688.219724029424,,0,0.11830484850679568,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:40:00+00:00,95310.765625,3342.61962890625,-688.1211533040596,,0,0.09857072536442502,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:41:00+00:00,95269.875,3341.34814453125,-687.6633523384503,,0,0.4578009656092945,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:42:00+00:00,95262.0390625,3340.590576171875,-688.0895349132184,,0,-0.4261825747680632,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:43:00+00:00,95243.296875,3339.33544921875,-688.5520452190144,,0,-0.4625103057960587,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:44:00+00:00,95230.15625,3336.65185546875,-690.6799152504614,,0,-2.127870031446946,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:45:00+00:00,95243.9609375,3336.38916015625,-691.5264178225825,,0,-0.8465025721211532,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:46:00+00:00,95252.328125,3336.68994140625,-691.5794891900441,,0,-0.05307136746159813,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:47:00+00:00,95263.1015625,3337.53857421875,-691.1864705320531,,0,0.3930186579909787,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:48:00+00:00,95267.3515625,3337.263427734375,-691.6413516792654,,0,-0.45488114721229067,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:49:00+00:00,95273.4375,3337.541015625,-691.6211411826671,,0,0.020210496598338068,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:50:00+00:00,95273.265625,3337.561767578125,-691.5931205483244,,0,0.02802063434273805,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:51:00+00:00,95247.9453125,3336.737060546875,-691.3470186783679,,0,0.24610186995641925,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:52:00+00:00,95200.65625,3335.54052734375,-690.5436733628248,,0,0.8033453155430834,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:53:00+00:00,95200.359375,3335.028564453125,-691.0430812586192,,0,-0.4994078957943202,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:54:00+00:00,95208.671875,3335.08837890625,-691.33480666075,,0,-0.29172540213085085,-0.0,0.0,0.0,-0.0,0.0
2026-01-14 04:55:00+00:00,95231.7578125,3337.353271484375,-690.0462301280013,,0,1.2885765327487206,0.0,0.0,0.0,0.0,0.0
2026-01-14 04:56:00+00:00,95219.3515625,3337.087646484375,-689.7871885019244,,0,0.25904162607685066,0.0,0.0,0.0,0.0,0.0
